Sl. No,Course Name,State,Name and Address of Medical College/Medical Institution,University Name,Management of College,Year of Inspection of College,Annual Intake (Seats),Status of MCI Recognition,Date of LOP
170,MBBS,Jammu & Kashmir,"Government Medical College, Kathua",Jammu University,Govt.,2019,100,"Permitted for renewal of permission u/s 10(A) 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (4th renewal) and 5th batch for the Academic Year 2023 - 2024.",30-05-2019
171,MBBS,Jammu & Kashmir,"Government Medical College, Rajouri, J&K",Jammu University,Govt.,2019,100,"Permitted  for renewal of permission u/s 10(A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (4th renewal) and 5th batch for the Academic Year 2023 - 2024.",31-05-2019
172,MBBS,Jammu & Kashmir,"Government Medical College, Srinagar",Kashmir University,Govt.,1959,180,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after November,2018. Permitted for increase of seats from 150 to 180 under EWS quota (103rd constitution amendment) for 2019-20.",N/A
173,MBBS,Jammu & Kashmir,"Government Medical College, Udhampur",University of Jammu,Govt.,2023,100,"Permitted u/s 26 (a) (b) ,28(1) (2) and 61(2) of NMC Act. 2019 for the A/Y 2023-2024.",24-03-2023
174,MBBS,Jammu & Kashmir,"Govt. Medical College, Doda, Kashmir",Kashmir University,Govt.,2020,100,"Permitted u/s 10(A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023 - 2024.",15-10-2020
175,MBBS,Jammu & Kashmir,"Sher-I-Kashmir Instt. Of Medical Sciences, Srinagar","Deemed University, Jammu & Kashmir",Govt.,1988,125,Recognized for 50 seats. Recognised for increase of seats from 50 to 100 when degree granted on or after October 2018. Permitted for increase of seats from 100 to 125 under EWS quota (103rd constitution amendment) for 2019-20.,N/A
176,MBBS,Jharkhand,"All India Institute of Medical Sciences, Deoghar","Statutory Autonomous, AIIMS(Deoghar)",Govt.,2019,125,"Permitted by MOH&FW,GOI.",N/A
177,MBBS,Jharkhand,"Dumka Medical College, Dighi Dumka",Sidho Kanhu Murmu University,Govt.,2019,100,"Permitted u/s 10(A) for 2019-20 vide order dated 19.08.2019 of the Honble Supreme Court. Not permitted for renewal u/s 10 (A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023-2024.",22-08-2019
178,MBBS,Jharkhand,"Hazaribagh Medical College, Hazaribagh","Binod Bihati Mahto Koyalanchal University, Dhanbad",Govt.,2019,100,"Permitted u/s 10(A) for 2019-20 vide order dated 19.08.2019 of the Honble Supreme Court. Not permitted for renewal u/s 10 (A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023 - 2024.",22-08-2019
179,MBBS,Jharkhand,Laxmi Chandravansi Medical College & Hospital,"Ramchandra Chandravansi University, Bishrampur, Palamu",Trust,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",06-12-2021
180,MBBS,Jharkhand,"Manipal Tata Medical College,Baridih Jameshedpur","Manipal University, Manipal",Trust,2020,150,"Permitted  u/s 10(A) for 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (3rd renewal) and permission for 4th batch for Academic Year 2023 - 2024.",24-09-2020
181,MBBS,Jharkhand,"M G M Medical College, Jamshedpur","Kolhan University, Chaibasa",Govt.,1961,100,"Recognized for 50 seats till 2012. Renewed permission with increase in seats from 50 to 100 for 2013-14 batch. Permitted to admit 50 students in 2014-15. Renewal of permission with increase in seats from 50 to 100 granted from 2015-16 to 2018-19. Permitted to admit 50 students in 2019-'20. Permitted to admit 100 students in 2020-'21 and 2021-'22. Recognition of degree awarded till 2021-22. Continuation of Recognition of 100 MBBS seats granted for five (05) years when degree awarded upto December, 2022.",N/A
182,MBBS,Jharkhand,"Palamu Medical College, Palamu",Nilamber-Pitamber University,Govt.,2019,100,"Permitted u/s 10(A) for 2019-20 vide order dated 19.08.2019 of the Honble Supreme Court. Not permitted for renewal u/s 10 (A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted for 4th batch (3rd renewal) during A/Y 2023-2024.",22-08-2019
183,MBBS,Jharkhand,"Rajendra Institute of Medical Sciences, Ranchi",Ranchi University,Govt.,1960,180,"Recognized for 90. Recognised for increase of seats from 90 to 150 when degree granted on or after September, 2016. Permitted for increase of seats from 150 to 180 under EWS quota (103rd constitution amendment) form 2019-20.",N/A
184,MBBS,Jharkhand,"Shahed Nirmal Mahto Medical College & Hospital, Dhanbad","Binod Bihati Mahto Koyalanchal University, Dhanbad",Govt.,1969,100,Recognized for 50 seats. Not permitted for renewal of permission for increase of seats from 50 to 100 u/s 10(A) for 2019-20. Recognized for increase of seats from 50 to 100 only in respect to students admitted in 2013-14. Fifty (50) seats have been increased during the AY 2023-24.,N/A
185,MBBS,Karnataka,Adichunchanagiri Institute of Medical Sciences Bellur,"Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1985,250,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after January, 2018, Permitted for increase of seats 150 to 250 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024. COR granted for one(01) year for 2022-23 only.",N/A
186,MBBS,Karnataka,"A J Institute of Medical Sciences & Research Centre, Mangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2002,150,Recognized  for 100 seats. Recognized for increase of seats from 100 to 150. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
187,MBBS,Karnataka,"Akash Institute of Medical Sciences & Research Centre, Devanhalli, Bangalore, Karnataka","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2016,150,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,20-08-2016
188,MBBS,Karnataka,"Al-Ameen Medical College,Bijapur","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1984,150,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after January,2018.",N/A
189,MBBS,Karnataka,"Bangalore Medical College and Research Institute, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,1955,250,Recognized  for 150 seats. Recognized for increase of seats from 150 to 250.,N/A
190,MBBS,Karnataka,"Basaveswara Medical College and Hospital, Chitradurga","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1999,150,"Recognized for 100 seats when degree granted on or after 2005-06. Continuation of recognition renewed till 2021-22, upto batch 2016-17. Permission for granting admission to 100 students renewed for 2021-22. Permitted for increase of MBBS seats from 100 to 150 for the Academic year 2022-2023. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024. COR granted for one(01) year for 2022-23 only.",18-05-2001
191,MBBS,Karnataka,"Belagavi Institute of Medical Sciences, Belagavi","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2006,150,Recognized for 100 when degree awarded on or after December 2010. Renewal of permission granted for increase of seats from 100 to 150 u/s 10(A) for 2020-21. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
192,MBBS,Karnataka,"BGS Global Institute of Medical Sciences, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2013,150,Recognized when degree granted on or after January 2018.,02-07-2013
193,MBBS,Karnataka,"Bidar Institute of Medical Sciences,Bidar","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2007,150,"Recognized For 100 seats when degree granted on or after January,2012. Permitted to admit additional 50 students against increased intake from 100 to 150 for 2019-20 vide order dated 03.07.2019 of Honble High Court Karnataka in writ petition No 25241-42/2019,Permitted for 100 - 150 renewal of permission u/s 10(A) for 2020-21. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
194,MBBS,Karnataka,"Chamrajanagar Institute of Medical Sciences, Karnataka","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2016,150,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,13-06-2016
195,MBBS,Karnataka,Chikkaballapura Institute of Medical Sciences,"Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2021,100,"Permitted For 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted For 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",10-02-2022
196,MBBS,Karnataka,"Chikkamagaluru Institute of Medical Sciences, Chikkamagaluru","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",18-08-2022
197,MBBS,Karnataka,Chitradurga Medical College and Research Institute,"Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2023,150,"Permitted u/s 26(1) (a) (b), 28 (1) (2) and 61 (2) during 2023-2024.",21-07-2023
198,MBBS,Karnataka,"Dr BR Ambedkar Medical College, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1980,150,"Recognized for 100 seats, when degree granted on or after 2016-17. Renewal of permission granted for admission of 100 seats U/s 10(A) from 2020-2021. Permitted to Increase 50 MBBS seats i.e. 100 to 150 u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024. COR granted for one(01) year for 2022-23 only.",N/A
199,MBBS,Karnataka,"Dr. Chandramma Dayananda Sagar Instt. of Medical Education & Research, Harohalli, Hubli ","Dayananda Sagar University, Bangalore",Trust,2020,150,"Permitted u/s 10(A) for 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted for 3rd renewal 4th batch for the Academic Year 2023 -2024.",17-02-2020
200,MBBS,Karnataka,"East Point College of Medical Sciences & Research Centre, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2017,150,Permitted  for renewal of permission u/s 10(A) for 2020-21. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,31-05-2017
201,MBBS,Karnataka,"Employees State Insurance Corporation Medical College, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2012,150,"Recognized when degree granted on or after January, 2017. Renewal of permission granted to admit 100 students in 2021-22, 25 seats under EWS quota was permitted for 2020-21 vide latter date 09/10/2020. 25 MBBS seats from 125 to 150 ) have been increased u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024. Total seats 150 including EWS Quota.",27-06-2012
202,MBBS,Karnataka,"Employees State Insurance Corporation Medical College, Gulbarga","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2013,150,"Recognized when degree granted on or after January 2018, 25 seats under EWS quota was permitted for 2020-21 vide latter date 09/10/2020. Twenty five (25) MBBS seats have been increased from (including 25 EWS seats) to 150 MBBS seats during AY 2023-2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",15-07-2013
203,MBBS,Karnataka,"Father Mullers Medical College, Mangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1999,150,"Recognized  for 100 seats. Recognised for increase of seats from 100 to 150 when degree granted on or after January, 2017. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
204,MBBS,Karnataka,"Gadag Institute of Medical Sciences, Mallasamudra, Mulgund Road, Gadag","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2015,150,"Recognized when degree granted on or after January,2020.",03-06-2015
205,MBBS,Karnataka,G R Medical College Hospital & Research Centre,"Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Admission stopped, not grant permission for 3rd Batch (2nd renewal) for the Academic Year 2023 - 2024.",13-12-2021
206,MBBS,Karnataka,"Gulbarga Institute of Medical Sciences, Gulbarga","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2015,150,"Recognized when degree granted on or after January,2020.",08-06-2015
207,MBBS,Karnataka,"Hassan Institute of Medical Sciences, Hassan","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2006,150,Recognized for 100 when degree granted on or after January 2011. Permitted for renewal of permission for increase of seats from 100 to 150 u/s 10(A) for 2020-21. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
208,MBBS,Karnataka,"Haveri Institute of Medical Sciences, Haveri","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2022,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",18-08-2022
209,MBBS,Karnataka,Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College JGMMMC,"KLE Academy of Higher Education & Research (Deemed), Belgaum",Trust,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted for 2nd renewal 3rd batch for the Academic Year 2023 -2024.",13-10-2021
210,MBBS,Karnataka,"Jawaharlal Nehru Medical College, Belgaum","KLE Academy of Higher Education & Research (Deemed), Belgaum",Trust,1963,200,Recognized  for 150. Recognized for increase of seats from 150 to 200.,N/A
211,MBBS,Karnataka,"JJM Medical College, Davangere","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1965,245,Recognized COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
212,MBBS,Karnataka,"JSS Medical College, Mysore","JSS Academy of Higher Education & Research, Mysuru (formerly known as JSS University, Mysore)",Trust,1984,250,"Recognized for 200 MBBS seats annually upto July, 2027, Permitted for increase of seats 200 to 250 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st Renewal) and 2nd batch during academic year 2023-2024.",N/A
213,MBBS,Karnataka,"Kanachur Institute of Medical Sciences, Mangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2016,150,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,20-08-2016
214,MBBS,Karnataka,"Karnataka Institute of Medical Sciences, Hubballi","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,1957,200,Recognized for 100. Recognized for increase of seats from 100 to 150. Permitted for renewal of permission for increase of seats from 150 to 200 u/s 10(A) for 2020-21. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
215,MBBS,Karnataka,"Karwar Institute of Medical Sciences, Karwar","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2016,150,Recognized to admit students for 2019-20 vide order dated 24.06.2019 of Honble High Court Karnataka in writ petition No 25080-26966/2019. Permitted for 150 seats for renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,13-06-2016
216,MBBS,Karnataka,"Kasturba Medical College, Mangalore","Manipal Academy of Higher Education (Deemed University), Manipal",Trust,1955,250,Recognized ,N/A
217,MBBS,Karnataka,"Kasturba Medical College, Manipal","Manipal Academy of Higher Education (Deemed University), Manipal",Trust,1953,250,Recognized ,N/A
218,MBBS,Karnataka,"Kempegowda Institute of Medical Sciences, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1980,150,"Recognized for 120 seats. Recognized for increase of seats from 120 to 150 when degree granted on or after January, 2017. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
219,MBBS,Karnataka,"Khaja Bandanawaz University - Faculty of Medical Sciences, Gulbarga",Khaja Bandanawaz University,Trust,2000,150,"Recognized when degree granted on or after 04.04.2006 (Previously under Rajiv Gandhi University of Health Sciences), Increase of 100 to 150 seats for 2021-22.",N/A
220,MBBS,Karnataka,"Kodagu Institute of Medical Sciences, Kodagu","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2016,150,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,10-06-2016
221,MBBS,Karnataka,"Koppal Institute of Medical Sciences, Koppal","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2015,150,"Recognized  for 150 seats when degree granted on or after January, 2020.",08-06-2015
222,MBBS,Karnataka,"K S Hegde Medical Academy, Mangalore","Nitte University (Deemed), Mangalore",Trust,1999,250,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150. Increase of 100 MBBS seats from 150 to 250 have been permitted during Academic Year 2023- 2024 u/s 26 (1) (b) (c), (d) 28 (1) (2) (3) and 61 (2) of NMC Act. 2019.",N/A
223,MBBS,Karnataka,"K V G Medical College, Sullia","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1999,100,Recognized Continuation of recognition granted for 100 seats when degree awarded on or after 2019.,N/A
224,MBBS,Karnataka,"Mahadevappa Rampure Medical College, Kalaburagi, Gulbarga","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1963,150,"Recognized continued for award of MBBS when degree granted on or after 2018-2019, for 150 seats.",N/A
225,MBBS,Karnataka,"Mandya Institute of Medical Sciences, Mandya","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2006,150,"Recognized for 100 seats when degree awarded on or after January,2011. Continuation of recognition for 100 seats granted when degree awarded on or after 2016. Permission renewed for admission of increased seats from 100 to 150 u/s 10(A) from 2020-21.",N/A
226,MBBS,Karnataka,"M S Ramaiah Medical College, Bangalore","M.S. Ramaiah University of Applied Sciences, Bangalore.",Trust,1979,150,Recognized (show casue notice for withdrawal of recognition revoked). continuation of recognition granted for 150 seats when degree awarded on or after 2016-17. Renewed permission for admission of 150 seats for 2021-22. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
227,MBBS,Karnataka,"MVJ Medical College and Research Hospital, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1997,150,Recognized  for 100 seats when degree granted on or after 24.05.2006 and onwards. Recognized for increase of seats from 100 to 150. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
228,MBBS,Karnataka,"Mysore Medical College and Research Instt. (Prev.name Government Medical College), Mysore","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,1924,150,"Recognized  for 100 seats. Recognition granted for increase of seats from 100 to 150, when degree awarded on or after 2016-2017. permission granted for 150 seats for 2021 - 22.",N/A
229,MBBS,Karnataka,"Navodaya Medical College, Raichur","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2002,200,"Recognized for 100 seats when degree granted on after Mar2007. Recognised for increase of seats from 100 to 150 when degree granted on or after January, 2017, Permitted for increase of seats 150 to 200 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150-200 seats for the academic year 2022-23. Permitted for (2nd renewal) 3rd batch for the Academic Year 2023 -2024. Continuation of Recognition of MBBS 150 seats granted for five (05) years when degree awarded upto June, 2027.",22-10-2002
230,MBBS,Karnataka,"Raichur Institute of Medical Sciences,Raichur","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2007,150,"Recognized for 100 when degree granted on or after January,2012. Renewal of permission granted for increase in seats from 100 to 150 u/s 10(A) for 2020-21. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
231,MBBS,Karnataka,"Rajarajeswari Medical College & Hospital, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2005,250,Recognized for 100. Recognized for increase of seats from 100 to 150. Permitted for renewal of Permission for increase of seats from 150 to 250 u/s 10(A) for 2020-21.,N/A
232,MBBS,Karnataka,"Sambharam Institute of Medical Sciences & Research, Kolar","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2016,,Other Not Permitted for renewal of Permission for 2019-20. Renewal not given from Academic Year 2017 -2018 to 2021 - 2022. Renewal not granted during Academic Year 2023 - 2024 also.,26-09-2016
233,MBBS,Karnataka,"Sapthagiri Institute of Medical Sciences & Research Centre, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2011,250,"Recognized  when degree granted on or after 2016, Permitted for increase of seats 150 to 250 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Recognized when degree granted on or after 2016, Permitted for increase of seats 150 to 250 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150-250 seats for the academic year 2022-23. Permitted (2nd renewal) and permission for 3rd batch for Academic Year 2023 - 2024. Recognized for one(01) year for 2022-23 only.",21-06-2011
234,MBBS,Karnataka,"SDM College of Medical Sciences & Hospital, Sattur, Dharwad","Shri Dharmasthala Manjunatheshwara University, Karnataka",Trust,2003,150,"Recognized for 100 MBBS seats annually up to April, 2027. Permitted for renewal of increase of seats i.e. from 100 to 150 for the academic year 2022-23. Permission for 3rd batch (2nd renewal) has been given during A/Y 2023-2024.",26-07-2004
235,MBBS,Karnataka,"Shimoga Institute of Medical Sciences,Shimoga","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2007,150,"Recognized for 100 seats when degree granted on or after January,2012. Permitted for renewal of permission for increase of seats from 100 to 150 u/s 10(A) for 2020-21. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
236,MBBS,Karnataka,Shri Atal Bihari Vajpayee Medical College & Research Institute,"Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2019,150,"Permitted for renewal of permission u/s 10(A) 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (4th renewal) and 5th batch for the Academic Year 2023 - 2024.",29-05-2019
237,MBBS,Karnataka,"Shri B M Patil Medical College, Hospital & Research Centre, Vijayapura(Bijapur","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1986,200,"Recognized for 150 MBBS seats annually up to March, 2027. Permitted for renewal of increase of seats i.e. from 150 to 200 for the academic year 2022-23. Permission for 3rd batch (2nd renewal) has been given during 2023-2024.",21-05-1986
238,MBBS,Karnataka,"Shridevi Institute of Medical Sciences & Research Hospital, Tumkur","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2013,150,"Recognized when degree granted on or after January,2018.",13-07-2013
239,MBBS,Karnataka,"Siddaganga Medical College and Research Institute, Tumakuru","Rajiv Gandhi University of Health Sciences, Karnataka",Private,,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",23-08-2022
240,MBBS,Karnataka,"S. Nijalingappa Medical College & HSK Hospital & Research Centre, Bagalkot","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2002,250,Recognized for 100 seats when degree granted on or after Feb. 2007. Renewal of permission for increase of seats from 100 to 150 granted for 2013-17. Recognized for increase of seats from 100 to 150 granted when degree awarded on or after 2015-2016. Permitted for increase of seats from 150 to 250 u/s 10(A) when admitted from 2020-21. Permitted for Renewal of 150-250 seats for the academic year 2022-23. Permitted (3rd renewal) 4th batch for the Academic Year 2023 -2024. COR granted for one(01) year for 2022-23 only.,N/A
241,MBBS,Karnataka,Sri Chamundeshwari Medical College Hospital & Research Institute,"Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2023,150,"Permitted u/s 26 (a) (b) ,28(1) (2) and 61(2) of NMC Act. 2019 for the A/Y 2023-2024.",27-03-2023
242,MBBS,Karnataka,"Sri Devaraj URS Medical College, Kolar","Sri Devaraj Urs Academy of Higher Education and Research (Deemed University), Kolar",Trust,1986,150,Recognized Continuation of recognition granted for 150 seats when degree awarded on or after 2018-2019.,N/A
243,MBBS,Karnataka,Sri Madhusudan Sai Institute of Medical Sciences and Research,Sri Sathya Sai University for Human Excellence,Trust,2023,50,Permitted for 50 MBBS seats u/s 26(1)(a)(b) & 28(1)(2) of NMC Act 2019 for the AY 2023-24.,27-04-2023
244,MBBS,Karnataka,"Srinivas Institute of Medical Research Centre, Srinivasnagar, mangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2011,150,"Recognized  when degree granted on or after January, 2017",30-06-2011
245,MBBS,Karnataka,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore","Sri Siddhartha Academy of Higher Education, Tumkur",Trust,2019,150,"Permitted for renewal of permission u/s 10(A) 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted ( 4th renewal) and 5th batch for the Academic Year 2023 - 2024.",24-05-2019
246,MBBS,Karnataka,"Sri Siddhartha Medical College, Tumkur","Sri Siddhartha Academy of Higher Education, Tumkur",Trust,1988,200,"Recognized Renewal of permission granted for admission of 150 seats u/s 10(A) till 2021-22. u/s 26(1) (a) (b) and 28 (1) (2) of NMC Act, 2019. Fifty (50) MBBS seats have been increased u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",N/A
247,MBBS,Karnataka,"S S Institute of Medical Sciences& Research Centre, Davangere","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2006,200,"Recognized when degree granted on or after January2011, Permitted for increase of seats 150 to 200 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Recognized when degree granted on or after January2011, Permitted for increase of seats 150 to 200 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150-200 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",N/A
248,MBBS,Karnataka,"St. Johns Medical College, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1963,150,Recognized for 60 seats. Continuation of recognition granted when degree awarded on or after 2015-2016. Granted renewal of permission for increase in seats from 60 to 150 u/s 10(A) from 2020-21. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
249,MBBS,Karnataka,"Subbaiah Institute of Medical Sciences, Shimoga, Karnataka","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2012,200,"Recognized  when degree granted on or after January, 2017, Permitted for increase of seats 150 to 200 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Recognized when degree granted on or after January, 2017, Permitted for increase of seats 150 to 200 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150-200 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024. COR granted for one(01) year for 2022-23 only.",29-06-2012
250,MBBS,Karnataka,"The Oxford Medical College, Hospital & Research Centre, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Society,2014,150,"Recognized when degree granted on or after January,2019.",18-07-2014
